Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored
25,0.006,0,97,838,0,0,0,0,75
25,0.006,1,158,-264,1,0,1,0,144
25,0.006,2,55,915,0,0,0,0,46
25,0.006,3,19,970,0,0,0,0,17
25,0.006,4,514,-2881,3,1,2,2,346
25,0.006,5,47,-80,1,0,1,0,42
25,0.006,6,89,853,0,0,0,0,70
25,0.006,7,41,941,0,0,0,0,37
25,0.006,8,147,-1242,2,0,2,0,113
25,0.006,9,1334,-8484,7,4,3,3,404
25,0.006,0,1370,-8538,7,3,4,4,525
25,0.006,1,483,-3857,4,3,1,1,296
25,0.006,2,163,-3263,4,3,1,0,138
25,0.006,3,234,-1400,2,1,1,0,179
25,0.006,4,551,-3972,4,2,2,1,341
25,0.006,5,1152,-9116,8,4,4,2,510
25,0.006,6,1905,-10558,8,4,4,3,532
25,0.006,7,222,-365,1,0,1,0,201
25,0.006,8,1098,-7984,7,4,3,1,469
25,0.006,9,667,-3182,3,1,2,2,333
25,0.006,0,696,-5222,5,3,2,1,411
25,0.006,1,1153,-9068,8,4,4,3,561
25,0.006,2,748,-5386,5,2,3,1,284
25,0.006,3,1366,-9538,8,4,4,2,543
25,0.006,4,1039,-6919,6,4,2,2,377
25,0.006,5,437,-4754,5,3,2,1,300
25,0.006,6,175,-287,1,1,0,0,134
25,0.006,7,957,-7698,7,3,4,1,521
25,0.006,8,214,-2363,3,2,1,1,180
25,0.006,9,472,-3801,4,3,1,0,383
25,0.006,0,246,-1431,2,1,1,0,180
25,0.006,1,938,-8654,8,4,4,3,502
25,0.006,2,389,-3631,4,2,2,1,316
25,0.006,3,703,-6266,6,3,3,1,312
25,0.006,4,480,-3806,4,2,2,0,353
25,0.006,5,284,-3485,4,2,2,1,187
25,0.006,6,274,-1448,2,0,2,0,248
25,0.006,7,1122,-9043,8,4,4,2,486
25,0.006,8,606,-3064,3,1,2,1,389
25,0.006,9,1000,-7785,7,3,4,3,491
25,0.006,0,309,-4494,5,2,3,1,253
25,0.006,1,1314,-9379,8,4,4,4,542
25,0.006,2,807,-7438,7,4,3,2,445
25,0.006,3,176,-1300,2,2,0,0,135
25,0.006,4,455,-3763,4,2,2,1,370
25,0.006,5,866,-7558,7,4,3,3,413
25,0.006,6,274,-6456,7,3,4,2,175
25,0.006,7,242,-3385,4,3,1,0,212
25,0.006,8,171,-1291,2,1,1,0,161
25,0.006,9,482,-5836,6,3,3,3,285
25,0.083,0,3036,-89938,85,41,44,40,246
25,0.083,1,1326,-85377,84,41,43,30,215
25,0.083,2,873,-78464,78,36,42,29,219
25,0.083,3,16,973,0,0,0,0,8
25,0.083,4,186,-16294,17,10,7,5,68
25,0.083,5,67,-7102,8,4,4,1,30
25,0.083,6,15,-23,1,1,0,0,9
25,0.083,7,224,-27356,28,16,12,5,77
25,0.083,8,325,-42501,43,24,19,9,103
25,0.083,9,38,-1059,2,2,0,0,21
25,0.083,0,514,-43844,44,20,24,13,150
25,0.083,1,210,-26324,27,15,12,5,56
25,0.083,2,477,-40795,41,18,23,10,156
25,0.083,3,513,-49828,50,23,27,19,132
25,0.083,4,1397,-72543,71,38,33,30,214
25,0.083,5,569,-48942,49,28,21,18,162
25,0.083,6,550,-44910,45,21,24,22,136
25,0.083,7,98,-8144,9,5,4,4,40
25,0.083,8,1653,-87006,85,43,42,38,272
25,0.083,9,1653,-86003,84,44,40,36,248
25,0.083,0,24,-2040,3,0,3,2,7
25,0.083,1,75,-2152,3,2,1,1,8
25,0.083,2,23,-1035,2,1,1,1,5
25,0.083,3,16,-1022,2,1,1,0,4
25,0.083,4,1714,-101059,99,48,51,46,291
25,0.083,5,9,-12,1,0,1,0,2
25,0.083,6,26,-2046,3,0,3,2,7
25,0.083,7,8,-9,1,0,1,0,3
25,0.083,8,61,-2122,3,2,1,1,7
25,0.083,9,14,-1018,2,1,1,0,3
25,0.083,0,2021,-88754,86,41,45,39,288
25,0.083,1,58,-4090,5,0,5,3,25
25,0.083,2,1846,-100386,98,49,49,43,301
25,0.083,3,5,992,0,0,0,0,2
25,0.083,4,4,995,0,0,0,0,2
25,0.083,5,25,-2038,3,0,3,0,8
25,0.083,6,5,992,0,0,0,0,2
25,0.083,7,4,995,0,0,0,0,2
25,0.083,8,4,995,0,0,0,0,2
25,0.083,9,685,-58158,58,27,31,22,183
25,0.083,0,292,-31449,32,18,14,5,91
25,0.083,1,501,-35828,36,17,19,13,149
25,0.083,2,930,-77600,77,43,34,29,158
25,0.083,3,342,-30548,31,18,13,9,117
25,0.083,4,1522,-87812,86,44,42,34,246
25,0.083,5,2830,-97505,93,49,44,42,249
25,0.083,6,248,-28399,29,18,11,4,87
25,0.083,7,341,-31547,32,15,17,9,101
25,0.083,8,656,-61085,61,27,34,21,176
25,0.083,9,609,-48038,48,23,25,16,140
25,0.167,0,1509,-64043,62,32,30,28,58
25,0.167,1,7006,-210251,197,100,97,96,197
25,0.167,2,663,-103048,103,49,54,43,103
25,0.167,3,280,-44449,45,22,23,16,38
25,0.167,4,819,-87460,87,43,44,37,69
25,0.167,5,7994,-212533,197,100,97,97,201
25,0.167,6,5959,-198194,187,96,91,90,183
25,0.167,7,791,-125270,125,58,67,50,111
25,0.167,8,1959,-167580,165,81,84,78,152
25,0.167,9,1013,-106845,106,54,52,42,89
25,0.167,0,2,998,0,0,0,0,0
25,0.167,1,2,998,0,0,0,0,0
25,0.167,2,3,997,0,0,0,0,0
25,0.167,3,2,998,0,0,0,0,0
25,0.167,4,3,997,0,0,0,0,0
25,0.167,5,2,998,0,0,0,0,0
25,0.167,6,2,998,0,0,0,0,0
25,0.167,7,3,997,0,0,0,0,0
25,0.167,8,2,998,0,0,0,0,0
25,0.167,9,3,997,0,0,0,0,0
25,0.25,0,3,-1003,1,1,0,0,0
25,0.25,1,3,-1004,1,1,0,0,0
25,0.25,2,3,-1003,1,1,0,0,0
25,0.25,3,3,-1004,1,1,0,0,0
25,0.25,4,3,-1003,1,1,0,0,0
25,0.25,5,3,-1004,1,1,0,0,0
25,0.25,6,3,-1004,1,1,0,0,0
25,0.25,7,3,-1004,1,1,0,0,0
25,0.25,8,3,-1004,1,1,0,0,0
25,0.25,9,3,-1003,1,1,0,0,0
25,0.25,0,3,-1003,1,1,0,0,0
25,0.25,1,3,-1003,1,1,0,0,0
25,0.25,2,3,-1004,1,1,0,0,0
25,0.25,3,3,-1003,1,1,0,0,0
25,0.25,4,3,-1004,1,1,0,0,0
25,0.25,5,3,-1003,1,1,0,0,0
25,0.25,6,3,-1003,1,1,0,0,0
25,0.25,7,3,-1004,1,1,0,0,0
25,0.25,8,3,-1003,1,1,0,0,0
25,0.25,9,3,-1004,1,1,0,0,0
